,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
10,3722192264,GKX8095,NY,PAS,01/20/2015,71,4DSD,LEXUS,T,35490,35780,22670,01/01/20151207 12:00:00 PM,113,113.0,113.0,361082.0,T402,R,0259P,,Q,F,137-22,Bedell St,,01/05/0001 12:00:00 PM,408.0,j6,,YYYYYYY,,,GREEN,,1993.0,,0.0,N 42,71A-Insp Sticker Expired (NYS),,,
11,2707604086,CXT8949,TX,PAS,02/17/2015,20,SUBN,MAZDA,T,51190,9140,61090,01/01/88880088 12:00:00 PM,109,109.0,109.0,359625.0,T401,G,0459P,,Q,O,39-15,Janet Pl,,01/05/0001 12:00:00 PM,408.0,d,,YYYYY,0800A,0600P,WHITE,,0.0,,0.0,17 4,20A-No Parking (Non-COM),,,
12,3644999604,GSR4914,NY,PAS,05/05/2015,20,SUBN,DODGE,T,20090,14010,22890,01/01/20160911 12:00:00 PM,0005,5.0,5.0,361097.0,T101,E,0127P,,NY,O,48,Eldridge St,,01/05/0001 12:00:00 PM,408.0,d,,YYYYY,0800A,0600P,SILVE,,2008.0,,0.0,53 1,20A-No Parking (Non-COM),,,
13,3409200341,XBVP75,NJ,PAS,10/21/2014,16,VAN,FORD,T,5780,24830,43130,01/01/20140088 12:00:00 PM,0078,78.0,78.0,361332.0,T302,K,0401P,1200P,K,F,138,7th Ave,,01/05/0001 12:00:00 PM,408.0,k2,,YYYYYYY,,,WHITE,,0.0,,0.0,59 3,16-No Std (Com Veh) Com Plate,,,
14,2800513645,AP515N,NJ,PAS,08/21/2014,85,DELV,FRUEH,T,10790,19040,18990,01/01/88888888 12:00:00 PM,110,110.0,110.0,354200.0,T803,B,0225A,1014P,Q,O,97-11,50th Ave,,01/05/0001 12:00:00 PM,408.0,k5,,,,,WHITE,,0.0,,0.0,G 42,85-Storage-3 hour Commercial,,,
15,3536213999,16238TC,NY,TRC,08/07/2014,14,TRAC,PETER,T,13610,34410,34430,01/01/20150430 12:00:00 PM,0014,14.0,14.0,345058.0,T102,C,0802A,,NY,O,1260,Broadway,,01/05/0001 12:00:00 PM,408.0,c,,YYYYYYY,,,BLUE,,2014.0,,0.0,04 6,14-No Standing,,,
16,3712038933,122YEZ,CT,PAS,08/26/2014,21,4DSD,NISSA,T,5580,9080,9130,01/01/20140088 12:00:00 PM,0072,72.0,72.0,332021.0,T302,L,0817A,,K,O,5022,5th Ave,,01/05/0001 12:00:00 PM,408.0,d1,,Y,0800A,0830A,TAN,,0.0,,0.0,J 32,21-No Parking (street clean),,,
17,1369109532,65920JW,NY,COM,06/23/2014,46,VAN,MERCU,P,18770,10010,45590,01/01/20141031 12:00:00 PM,0019,19.0,19.0,942227.0,0019,0000,0945A,,NY,F,428,E 89,,01/05/0001 12:00:00 PM,408.0,F1,,BBBBBBB,ALL,ALL,BROWN,0,2007.0,-,0.0,,,,,
18,3285683104,GBU2135,NY,PAS,09/24/2014,71,SUBN,HONDA,T,10110,17190,17210,01/01/20160816 12:00:00 PM,0009,9.0,9.0,361338.0,T105,C,0804P,,NY,F,166,2nd Ave,,01/05/0001 12:00:00 PM,408.0,j6,,YYYYYYY,,,WH,,2012.0,,0.0,002,71A-Insp Sticker Expired (NYS),,,
19,3125828334,6AJWV5,CT,PAS,10/04/2014,37,SUBN,FORD,T,40220,27180,27270,01/01/88880088 12:00:00 PM,0048,48.0,48.0,361051.0,T201,G,0403P,0318P,BX,F,2390,Hoffman St,,01/01/20141004 12:00:00 PM,408.0,h1,,Y,0800A,0700P,BLACK,,0.0,213-1194,0.0,34 2,37-Expired Muni Meter,,,
20,1379105602,GDL7305,NY,PAS,01/21/2015,70,SDN,TOYOT,P,19330,10010,29090,01/01/20150105 12:00:00 PM,0025,25.0,25.0,919749.0,0025,0000,0644P,,NY,O,414,EAST 119 STR,,01/05/0001 12:00:00 PM,408.0,F1,,BBBBBBB,ALL,ALL,GRAY,0,2012.0,-,0.0,,,,,
21,2759256605,58359MD,NY,COM,03/26/2015,42,PICK,FORD,T,18070,0,0,01/01/20150831 12:00:00 PM,0014,14.0,14.0,357684.0,T106,L,0441P,,NY,I,N,E 54th St,20ft E/of 5th Ave,01/05/0001 12:00:00 PM,408.0,h1,,YYYYY,0700A,0600P,BL,,2011.0,143-3233,0.0,112,42-Exp. Muni-Mtr (Com. Mtr. Z),,,
22,3716246090,60304MD,NY,COM,10/06/2014,46,DELV,FRUEH,T,8140,8590,8690,01/01/88888888 12:00:00 PM,114,114.0,114.0,358655.0,T401,N,0301P,1200P,Q,F,35-34,31st St,,01/01/20141006 12:00:00 PM,408.0,F1,,,,,BROWN,,2014.0,,0.0,E-AM,46B-Double Parking (Com-100Ft),,,
23,3703022276,GJP9663,NY,PAS,01/24/2015,20,4DSD,NISSA,T,27390,36390,36430,01/01/20151029 12:00:00 PM,0030,30.0,30.0,354084.0,T103,L,1036A,,NY,O,94,Old Broadway,,01/05/0001 12:00:00 PM,408.0,d,,Y,0800A,0600P,BK,,2011.0,,0.0,CC1,20A-No Parking (Non-COM),,,
24,3703022276,GJP9663,NY,PAS,01/24/2015,20,4DSD,NISSA,T,27390,36390,36430,01/01/20151029 12:00:00 PM,0030,30.0,30.0,354084.0,T103,L,1036A,,NY,O,94,Old Broadway,,01/05/0001 12:00:00 PM,408.0,d,,Y,0800A,0600P,BK,,2011.0,,0.0,CC1,20A-No Parking (Non-COM),,,
25,2802131419,G78DLL,NJ,PAS,03/11/2015,38,SUBN,BMW,T,49130,67030,64830,01/01/88888888 12:00:00 PM,0079,79.0,79.0,358894.0,T301,G,1210P,,K,F,121,Herkimer St,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0830A,0700P,GREY,,0.0,,0.0,09 3,38-Failure to Display Muni Rec,,,
26,3492623783,GKP6078,NY,PAS,11/19/2014,20,SUBN,CHRYS,T,15010,15510,26440,01/01/20151126 12:00:00 PM,0007,7.0,7.0,353194.0,T105,M,0713A,,NY,O,340,Cherry St,,01/05/0001 12:00:00 PM,408.0,d,,YYYYY,0700A,0400P,GL,,2005.0,,0.0,J 99,20A-No Parking (Non-COM),,,
27,3728937732,GAR6688,NY,PAS,02/24/2015,20,4DSD,MAZDA,T,26630,67030,64830,01/01/20161108 12:00:00 PM,0070,70.0,70.0,333002.0,T302,M,0943A,,K,O,324,Clarkson Ave,,01/05/0001 12:00:00 PM,408.0,d,,YYYYY,0800A,0600P,TN,,2008.0,,0.0,C 32,20A-No Parking (Non-COM),,,
28,1369992300,1545236,ME,PAS,08/20/2014,66,TRAI,,S,62030,81050,94630,01/01/20150228 12:00:00 PM,0075,75.0,0.0,527637.0,0PIU,0000,0334A,,K,F,651,MONTAUK AVE,,01/05/0001 12:00:00 PM,408.0,K4,,BBBBBBB,ALL,ALL,SILVE,0,0.0,-,0.0,,,,,
29,3064186940,M80ANH,NJ,PAS,11/14/2014,37,4DSD,ACURA,T,72720,26760,26790,01/01/88888888 12:00:00 PM,0048,48.0,48.0,356985.0,T201,F,0344P,0327P,BX,F,1405,Walton Ave,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0800A,0700P,RED,,0.0,204-3008,0.0,48 2,37-Expired Muni Meter,,,
30,3655730194,25X944,OK,PAS,12/23/2014,46,DELV,INTER,T,16310,0,0,01/01/20140088 12:00:00 PM,0007,7.0,7.0,359578.0,T101,C,0240P,1200P,NY,I,N,Delancey St,10ft E/of Columbia S,01/01/20141223 12:00:00 PM,408.0,F1,,,,,WHITE,,0.0,,0.0,28 1,46B-Double Parking (Com-100Ft),,,
31,1371360765,36913MA,NY,COM,09/15/2014,46,DELV,HINO,P,10510,34230,34250,01/01/20150630 12:00:00 PM,0013,13.0,13.0,952479.0,0013,0000,1056A,,NY,O,716,6TH AVE,,01/05/0001 12:00:00 PM,408.0,E1,,BBBBBBB,ALL,ALL,WHITE,0,2012.0,-,0.0,,,,,
32,3740733469,GKB7155,NY,PAS,06/09/2015,21,SUBN,CHRYS,T,89030,60730,57030,01/01/20160224 12:00:00 PM,0090,90.0,90.0,355674.0,T301,G,1115A,,K,F,188,Wallabout St,,01/05/0001 12:00:00 PM,408.0,d1,,Y  Y,1100A,1230A,BR,,2015.0,,0.0,14 3,21-No Parking (street clean),,,
33,3471367096,CJP1169,NY,PAS,09/05/2014,37,SUBN,NISSA,T,64790,18640,18790,01/01/20150325 12:00:00 PM,103,103.0,103.0,361042.0,T402,B,0455P,0448P,Q,F,94-14,Sutphin Blvd,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0900A,0700P,BLACK,,1998.0,403-3030,0.0,03 4,37-Expired Muni Meter,,,
34,3449314204,EYB8055,NY,PAS,12/18/2014,21,SUBN,TOYOT,T,0,0,0,01/01/20160402 12:00:00 PM,0052,52.0,52.0,361369.0,T201,H,1154A,,BX,I,W,Bainbridge Ave,10ft S/of E 208th St,01/05/0001 12:00:00 PM,408.0,d1,,Y  Y,1130A,0100P,GY,,2010.0,,0.0,55 2,21-No Parking (street clean),,,
35,3726934868,96313JE,NY,COM,04/07/2015,46,REFG,ISUZU,T,53830,29830,42730,01/01/20151231 12:00:00 PM,0084,84.0,84.0,357114.0,T301,E,1253P,1200P,K,F,210,Joralemon St,,01/01/20150407 12:00:00 PM,408.0,F1,,,,,WH,,2013.0,,0.0,01 3,46B-Double Parking (Com-100Ft),,,
36,3284591016,60154JZ,NY,COM,09/11/2014,89,PICK,CHEVR,T,10610,34530,34550,01/01/20160331 12:00:00 PM,0018,18.0,18.0,359588.0,T102,M,0741A,,NY,F,533,7th Ave,,01/05/0001 12:00:00 PM,408.0,l4,,YYYYYYY,0700A,0700P,WH,,2010.0,,0.0,10 6,89-No Stand Exc Com Plate,,,
37,2711654290,FFE3632,NY,PAS,08/12/2014,38,SUBN,TOYOT,T,47990,10240,10390,01/01/88888888 12:00:00 PM,108,108.0,108.0,355608.0,T401,J,0402P,,Q,F,45-17,Greenpoint Ave,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0830A,0700P,BROWN,,2013.0,,0.0,36 4,38-Failure to Display Muni Rec,,,
38,3272726630,GSM7092,NY,PAS,07/14/2014,21,4DSD,HONDA,T,10540,10590,10790,01/01/20140818 12:00:00 PM,108,108.0,108.0,357710.0,T401,A,0916A,,Q,O,48-11,47th St,,01/05/0001 12:00:00 PM,408.0,d1,,Y,0900A,1030A,BLACK,,2014.0,,0.0,38 4,21-No Parking (street clean),,,
39,3718609013,44189JW,NY,COM,01/21/2015,71,VAN,FORD,T,6740,8590,8690,01/01/20150131 12:00:00 PM,114,114.0,114.0,361287.0,T401,S,1155A,,Q,F,35-34,21st St,,01/05/0001 12:00:00 PM,408.0,j6,,YYYYYYY,,,WH,,2007.0,,0.0,26 4,71A-Insp Sticker Expired (NYS),,,
40,3718609013,44189JW,NY,COM,01/21/2015,71,VAN,FORD,T,6740,8590,8690,01/01/20150131 12:00:00 PM,114,114.0,114.0,361287.0,T401,S,1155A,,Q,F,35-34,21st St,,01/05/0001 12:00:00 PM,408.0,j6,,YYYYYYY,,,WH,,2007.0,,0.0,26 4,71A-Insp Sticker Expired (NYS),,,
41,3245655521,G98BVF,NJ,PAS,09/09/2014,37,SUBN,DODGE,T,44930,29230,87630,01/01/88888888 12:00:00 PM,0090,90.0,90.0,358930.0,T301,H,0433P,0406P,K,F,45,Graham Ave,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0800A,0700P,SILVE,,0.0,328-3058,0.0,15 3,37-Expired Muni Meter,,,
42,3173828370,33451MB,NY,COM,05/26/2015,21,VAN,FORD,T,23940,17040,17130,01/01/20161024 12:00:00 PM,107,107.0,107.0,361861.0,T402,G,0843A,,Q,O,84-06,159th St,,01/05/0001 12:00:00 PM,408.0,d1,,Y,0830A,1000A,RED,,2003.0,,0.0,08 4,21-No Parking (street clean),,,
43,3370100144,JFS9782,PA,PAS,11/29/2014,38,2DSD,AUDI,T,10110,19190,19210,01/01/20150188 12:00:00 PM,0019,19.0,19.0,355156.0,T103,A,0906A,,NY,F,2170,2nd Ave,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0900A,0700P,WHITE,,0.0,,0.0,A 77,38-Failure to Display Muni Rec,,,
44,2941339601,18846MC,NY,COM,07/31/2014,14,DELV,NS/OT,T,18250,25390,27790,01/01/20150430 12:00:00 PM,0019,19.0,19.0,345536.0,T503,B1,0109P,,NY,F,41,E 63rd St,,01/05/0001 12:00:00 PM,408.0,c,,Y,0700A,0700P,WHITE,,0.0,,0.0,17 7,14-No Standing,,,
45,3258940159,W73DRS,NJ,PAS,01/12/2015,21,4DSD,NISSA,T,45130,19530,18630,01/01/88888888 12:00:00 PM,0090,90.0,90.0,345228.0,T301,A,0850A,,K,F,147,Grand St,,01/05/0001 12:00:00 PM,408.0,d1,,Y  Y,0800A,0930A,TAN,,0.0,,0.0,14 3,21-No Parking (street clean),,,
46,3258940159,W73DRS,NJ,PAS,01/12/2015,21,4DSD,NISSA,T,45130,19530,18630,01/01/88888888 12:00:00 PM,0090,90.0,90.0,345228.0,T301,A,0850A,,K,F,147,Grand St,,01/05/0001 12:00:00 PM,408.0,d1,,Y  Y,0800A,0930A,TAN,,0.0,,0.0,14 3,21-No Parking (street clean),,,
47,3262226711,CME3770,NY,PAS,12/11/2014,71,SUBN,SUBAR,T,78230,19530,18630,01/01/20150604 12:00:00 PM,0090,90.0,90.0,358649.0,T301,H,0232P,,K,O,113,S 2nd St,,01/05/0001 12:00:00 PM,408.0,j6,,YYYYYYY,,,GY,,2005.0,,0.0,14 3,71A-Insp Sticker Expired (NYS),,,
48,2871778461,GEB3048,NY,PAS,08/25/2014,38,4DSD,HYUND,T,39800,40404,40404,01/01/20150114 12:00:00 PM,122,122.0,122.0,356557.0,T303,E,0259P,,R,I,,New Dorp Lane Munici,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0800A,1000P,GY,,2010.0,,0.0,03-P,38-Failure to Display Muni Rec,,,
49,3710313054,55065MB,NY,COM,11/24/2014,69,VAN,WORKH,T,34410,10410,13610,01/01/88888888 12:00:00 PM,0014,14.0,14.0,359305.0,T102,M,0448P,,NY,F,11,W 32nd St,,01/05/0001 12:00:00 PM,408.0,h1,,YYYYY,0800A,0600P,BROWN,,2011.0,,0.0,22 6,69-Failure to Disp Muni Recpt,,,
50,3463809964,GLY1430,NY,PAS,01/03/2015,14,4DSD,TOYOT,T,18290,17740,17990,01/01/20160309 12:00:00 PM,102,102.0,102.0,356555.0,T803,A,1143P,,Q,F,8719,91st Ave,,01/05/0001 12:00:00 PM,408.0,c,,YYYYYYY,,,GY,,2003.0,,0.0,I 42,14-No Standing,,,
51,3463809964,GLY1430,NY,PAS,01/03/2015,14,4DSD,TOYOT,T,18290,17740,17990,01/01/20160309 12:00:00 PM,102,102.0,102.0,356555.0,T803,A,1143P,,Q,F,8719,91st Ave,,01/05/0001 12:00:00 PM,408.0,c,,YYYYYYY,,,GY,,2003.0,,0.0,I 42,14-No Standing,,,
52,3551709090,75455MC,NY,COM,07/28/2014,42,VAN,MITSU,T,10510,34810,34830,01/01/20151231 12:00:00 PM,0018,18.0,18.0,355231.0,T102,H,1121A,,NY,O,1301,6th Ave,,01/05/0001 12:00:00 PM,408.0,h1,,YYYYY,0700A,0400P,WH,,2012.0,143-3313,0.0,99 6,42-Exp. Muni-Mtr (Com. Mtr. Z),,,
53,3281394519,EDT9406,NY,PAS,01/21/2015,71,4DSD,PORSC,T,77150,50020,78485,01/01/20151023 12:00:00 PM,0043,43.0,43.0,361790.0,T202,E,1202P,,BX,F,1354,White Plains Rd,,01/05/0001 12:00:00 PM,408.0,j6,,YYYYYYY,,,BLACK,,2014.0,,0.0,04A,71A-Insp Sticker Expired (NYS),,,
54,3281394519,EDT9406,NY,PAS,01/21/2015,71,4DSD,PORSC,T,77150,50020,78485,01/01/20151023 12:00:00 PM,0043,43.0,43.0,361790.0,T202,E,1202P,,BX,F,1354,White Plains Rd,,01/05/0001 12:00:00 PM,408.0,j6,,YYYYYYY,,,BLACK,,2014.0,,0.0,04A,71A-Insp Sticker Expired (NYS),,,
55,3740783778,GXM6310,NY,PAS,05/30/2015,37,4DSD,SUBAR,T,0,40404,40404,01/01/20170507 12:00:00 PM,0084,84.0,84.0,361328.0,T301,H,0232P,0220P,K,F,340,Flatbush Ave Exten,,01/01/20150530 12:00:00 PM,408.0,h1,,Y,0900A,0400P,BK,,2014.0,301-3673,0.0,06 3,37-Expired Muni Meter,,,
56,2760082406,XU399F,NJ,PAS,05/09/2015,14,DELV,UD,T,10910,34750,34770,01/01/88880088 12:00:00 PM,0017,17.0,17.0,356212.0,T106,A,1030A,,NY,F,729,9th Ave,,01/05/0001 12:00:00 PM,408.0,c,,YYYYYYY,,,SILVE,,0.0,,0.0,99 6,14-No Standing,,,
57,3420572298,62417JM,NY,COM,10/29/2014,20,VAN,INTER,T,10210,18670,18690,01/01/88888888 12:00:00 PM,0019,19.0,19.0,358246.0,T103,N,0256P,1200P,NY,O,1505,3rd Ave,,01/01/20141029 12:00:00 PM,408.0,d,,YYYYYYY,,,BROWN,,0.0,,0.0,56 7,20-No Parking (Com Plate),,,
58,3722290158,GRD8338,NY,PAS,12/05/2014,21,SUBN,HONDA,T,57520,19540,19740,01/01/20160521 12:00:00 PM,110,110.0,110.0,341274.0,T401,L,0841A,,Q,F,102-32,Nicolls Ave,,01/05/0001 12:00:00 PM,408.0,d1,,Y,0830A,1000A,GY,,2006.0,,0.0,O 41,21-No Parking (street clean),,,
59,3505003713,FPJ1465,NY,PAS,08/28/2014,38,SUBN,LEXUS,T,8320,55520,77150,01/01/20150811 12:00:00 PM,0049,49.0,49.0,359283.0,T202,F,0552P,,BX,F,677,Allerton Ave,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0830A,0700P,LTG,,2004.0,,0.0,11P,38-Failure to Display Muni Rec,,,
60,3729747518,GVJ6924,NY,PAS,05/12/2015,21,4DSD,NISSA,T,7740,7990,37290,01/01/20170104 12:00:00 PM,114,114.0,114.0,355697.0,T401,Q,1139A,,Q,F,31-75,29th St,,01/05/0001 12:00:00 PM,408.0,d1,,Y  Y,1130A,0100P,GY,,2014.0,,0.0,31 4,21-No Parking (street clean),,,
61,3723710416,T653918C,NY,OMT,05/21/2015,21,4DSD,TOYOT,T,72320,26670,40520,01/01/20150731 12:00:00 PM,0042,42.0,42.0,357371.0,T201,X,0811A,,BX,F,1173,Vyse Ave,,01/05/0001 12:00:00 PM,408.0,d1,,Y  Y,0800A,0930A,WH,,2014.0,,0.0,Q 21,21-No Parking (street clean),,,
62,3283763163,GKZ9055,NY,PAS,11/21/2014,21,4DSD,ACURA,T,53920,55720,18520,01/01/20160101 12:00:00 PM,0043,43.0,43.0,357732.0,T202,A,0942A,,BX,O,2146,Newbold Ave,,01/05/0001 12:00:00 PM,408.0,d1,,Y  Y,0930A,1100A,WH,,2002.0,,0.0,12A,21-No Parking (street clean),,,
63,3498587360,81091MB,NY,COM,09/09/2014,37,SUBN,NS/OT,T,10110,18590,18610,01/01/20160104 12:00:00 PM,0019,19.0,19.0,354125.0,T103,Q,1051A,1043A,NY,F,1546,2nd Ave,,01/01/20140909 12:00:00 PM,408.0,h1,,Y,0830A,0700P,GREEN,,2003.0,126-4950,0.0,C 77,37-Expired Muni Meter,,,
64,1375236910,GJS5597,NY,PAS,09/23/2014,38,SDN,HONDA,P,41930,0,0,01/01/20150807 12:00:00 PM,0071,71.0,71.0,956215.0,0071,0000,0649P,,K,F,840,FRANKLIN AV,E,01/05/0001 12:00:00 PM,408.0,I4,,BBBBBBB,ALL,ALL,BK,0,2013.0,-,0.0,,,,,
65,2916198469,ETU5293,NY,PAS,11/04/2014,38,4DSD,LEXUS,T,6630,5430,5580,01/01/20150812 12:00:00 PM,0078,78.0,78.0,361368.0,T302,O,0125P,,K,O,205,15th St,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0900A,0700P,BK,,2012.0,,0.0,56 3,38-Failure to Display Muni Rec,,,
66,3723743798,EWT8528,NY,PAS,05/28/2015,37,SUBN,HONDA,T,29320,10020,73520,01/01/20160222 12:00:00 PM,0052,52.0,52.0,361340.0,T201,L,0120P,1257P,BX,O,171,E Gun Hill Rd,,01/05/0001 12:00:00 PM,408.0,h1,,Y,0830A,0700P,GY,,2013.0,207-3007,0.0,41 2,37-Expired Muni Meter,,,
67,1367471345,GSE2596,NY,PAS,08/09/2014,71,SDN,TOYOT,P,27820,31390,31510,01/01/20160729 12:00:00 PM,101,101.0,101.0,946050.0,0101,0000,1005A,,Q,F,54-09,ALMEDA AVE,,01/05/0001 12:00:00 PM,408.0,F2,,BBBBBBB,ALL,ALL,WH,0,2014.0,-,0.0,,,,,
68,2711668654,GMW4217,NY,PAS,04/02/2015,71,4DSD,ME/BE,T,57790,0,0,01/01/20160307 12:00:00 PM,114,114.0,114.0,347619.0,T401,F,1228P,,Q,I,N,Northern Blvd,45ft E/of 38th St,01/05/0001 12:00:00 PM,408.0,j6,,YYYYYYY,,,BLACK,,2013.0,,0.0,28 4,71A-Insp Sticker Expired (NYS),,,
69,2717294616,87628MC,NY,COM,12/19/2014,40,DELV,INTER,T,10010,0,0,01/01/20150228 12:00:00 PM,0019,19.0,19.0,358669.0,T103,Q,0136P,,NY,I,E,1st Ave,1ft S/of E 75th St,01/05/0001 12:00:00 PM,408.0,e2,,YYYYYYY,,,RD,,2013.0,,0.0,17 7,40-Fire Hydrant,,,
70,3712054323,DT50359,AL,PAS,12/19/2014,21,4DSD,ME/BE,T,90680,0,0,01/01/20151188 12:00:00 PM,0062,62.0,62.0,351343.0,T302,A,0959A,,K,I,E,W 4th St,5ft S/of Avenue P,01/05/0001 12:00:00 PM,408.0,d1,,Y,0930A,1100A,BLACK,,0.0,,0.0,04 3,21-No Parking (street clean),,,
71,3693213809,DLM5398,NY,PAS,12/05/2014,21,4DSD,HONDA,T,90530,9830,14380,01/01/20151124 12:00:00 PM,0061,61.0,61.0,332107.0,T302,M,0938A,,K,F,1543,W 1st St,,01/05/0001 12:00:00 PM,408.0,d1,,Y,0930A,1100A,WH,,1998.0,,0.0,O 32,21-No Parking (street clean),,,
72,3690411366,AP580Z,NJ,PAS,11/18/2014,84,DELV,FRUEH,T,17790,0,0,01/01/88888888 12:00:00 PM,0014,14.0,14.0,341966.0,T106,E,0720A,,NY,I,N,E 40th St,10ft W/of Madison Av,01/05/0001 12:00:00 PM,408.0,k7,,,,,WHITE,,0.0,,0.0,55 6,84-Platform lifts in low posit,,,
73,3270562669,81651JN,NY,COM,07/23/2014,48,DELV,INTER,T,37370,21190,28890,01/01/20141130 12:00:00 PM,0034,34.0,34.0,355180.0,T103,J,1033A,,NY,F,815,W 181st St,,01/05/0001 12:00:00 PM,408.0,e9,,,,,WHITE,,2004.0,,0.0,21 7,48-Bike Lane,,,
